,stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
0,2020-01-01,00:00:00,Canada,M,59,19,Asian,Drunk Driving,Speeding,True,Vehicle Search,Ticket,True,16-30 Min,True,UP76DY3473
1,2020-01-01,00:01:00,India,M,35,58,Other,Other,Other,False,Vehicle Search,Arrest,True,16-30 Min,True,RJ83PZ4441
2,2020-01-01,00:02:00,USA,M,26,76,Black,Signal Violation,Speeding,False,Frisk,Ticket,True,16-30 Min,True,RJ32OM7264
3,2020-01-01,00:03:00,Canada,M,26,76,Black,Speeding,DUI,True,Frisk,Warning,False,0-15 Min,True,RJ76TI3807
4,2020-01-01,00:04:00,Canada,M,62,75,Other,Speeding,Other,False,Vehicle Search,Arrest,True,16-30 Min,False,WB63BB8305
5,2020-01-01,00:05:00,Canada,F,44,73,Other,Drunk Driving,Other,True,Vehicle Search,Ticket,False,16-30 Min,False,MH89ZF7676
6,2020-01-01,00:06:00,USA,F,80,70,White,Signal Violation,Speeding,False,Vehicle Search,Ticket,False,30+ Min,False,KA40AD3153
7,2020-01-01,00:07:00,India,M,72,50,Asian,Drunk Driving,Other,False,Frisk,Arrest,True,30+ Min,True,DL75KZ7835
8,2020-01-01,00:08:00,USA,F,80,30,Hispanic,Other,Seatbelt,True,Frisk,Arrest,False,0-15 Min,True,DL50PO5101
9,2020-01-01,00:09:00,USA,M,43,21,Asian,Signal Violation,Signal,True,Frisk,Warning,True,16-30 Min,False,KA79RD2271
10,2020-01-01,00:10:00,India,F,66,76,Black,Speeding,Signal,False,Frisk,Ticket,False,30+ Min,True,UP67CQ9426
11,2020-01-01,00:11:00,Canada,F,58,53,Hispanic,Signal Violation,Signal,False,Vehicle Search,Arrest,True,30+ Min,True,KA61JB1004
12,2020-01-01,00:12:00,India,M,51,46,Asian,Drunk Driving,Signal,False,Vehicle Search,Ticket,False,16-30 Min,True,WB70IV9884
13,2020-01-01,00:13:00,USA,M,55,58,Black,Seatbelt,DUI,False,Frisk,Arrest,True,30+ Min,False,WB56XQ8946
14,2020-01-01,00:14:00,India,M,44,25,Black,Seatbelt,DUI,False,Frisk,Arrest,True,30+ Min,False,GJ67CO6825
15,2020-01-01,00:15:00,USA,F,65,51,Hispanic,Other,DUI,True,Frisk,Ticket,False,16-30 Min,True,WB75TF1052
